transportation_kgco2_per_km,electricity_kgco2_per_kwh,diet_kgco2_per_meal,waste_kgco2_per_kg,region_factor,total_emission_index
0.20621780831931538,0.8036217965253388,4.4171562933501995,0.6740734034208085,1.0962918964602169,4293.160032275222
0.24655000144869413,0.8780088383148235,2.2757386294732482,0.5576081445458494,0.924009770929781,2875.3088946182393
0.23123957592679836,0.5502807392754994,5.425775535096667,0.6174730815508253,0.9726989434361217,3440.2898046590403
0.22190609389379257,0.7749244597641993,4.259023075811587,0.5308144893917763,1.1321038039437752,4078.4855312207183
0.19092130483097056,0.7430475898862492,2.2074174760062943,0.5890103732627314,1.058605756103646,2884.937261503982
0.19091961642353417,0.8996982260729627,5.8305212586654305,0.5021727812263356,1.1783907185361133,5087.355572844364
0.18406585285177396,0.9436522362887563,3.832644585008943,0.4903477059356336,1.0286254225024063,3865.134455254444
0.24063233020424546,0.4072940628864321,1.8280430334224476,0.5734689358508541,1.1609437097441768,2172.184277351497
0.22207805082202461,0.8044119514352757,4.320748069867802,0.5494389022551941,1.0346866312434713,3666.0418224533923
0.22956508044572319,0.4311014794718374,2.639395081557646,0.5738609107449943,1.1937744836105955,2797.8416843702316
0.18144091460070616,0.7293151990464135,5.116620533447861,0.48599817438610693,1.187950314419663,4453.339424316942
0.24789368965133962,0.5725796374262069,5.180199331047858,0.5100873495450986,0.998741011666824,3568.769457531689
0.23827098485602952,0.5840659597132847,5.905263101345978,0.4251693881886728,1.1657771011250408,4587.641690420335
0.19486373774747934,0.611775102071414,3.7584128896102666,0.4156829116816617,1.1542834122646948,3471.080917359975
0.19272774770449705,0.7727754694297662,3.547305958774817,0.4760371389019049,0.9632041191982689,3210.5194675025364
0.19283831568974036,0.6004299794012615,4.890640224509163,0.4222740577991637,1.087287120234981,3588.261957836242
0.20129695700716763,0.8396194303541682,2.09611795353867,0.43113241259042223,0.9218046946769445,2714.247602718106
0.21673295021425665,0.6427164313443219,3.9611198120690587,0.643878521618181,1.1510132161750384,3711.074918932035
0.2102361513049481,0.4410119201859752,3.9581142005888292,0.41166210910500683,0.952363765051049,2619.2880174639995
